dec,bin,gray,contiguity,score
38333,1001010110111101,1101111101100011,False,1.0
38334,1001010110111110,1101111101100001,False,1.0
38335,1001010110111111,1101111101100000,False,1.0
38336,1001010111000000,1101111100100000,True,0.016079393923933996
38337,1001010111000001,1101111100100001,True,0.23975524868723014
38338,1001010111000010,1101111100100011,False,1.0
38339,1001010111000011,1101111100100010,False,1.0
38340,1001010111000100,1101111100100110,False,1.0
38341,1001010111000101,1101111100100111,False,1.0
38342,1001010111000110,1101111100100101,False,1.0
38343,1001010111000111,1101111100100100,False,1.0
38344,1001010111001000,1101111100101100,False,1.0
38345,1001010111001001,1101111100101101,False,1.0
38346,1001010111001010,1101111100101111,False,1.0
38347,1001010111001011,1101111100101110,False,1.0
38348,1001010111001100,1101111100101010,False,1.0
38349,1001010111001101,1101111100101011,False,1.0
38350,1001010111001110,1101111100101001,False,1.0
38351,1001010111001111,1101111100101000,False,1.0
38352,1001010111010000,1101111100111000,True,0.1426089103967956
38353,1001010111010001,1101111100111001,True,0.39844355300795975
38354,1001010111010010,1101111100111011,False,1.0
38355,1001010111010011,1101111100111010,False,1.0
38356,1001010111010100,1101111100111110,True,0.5363626401769412
38357,1001010111010101,1101111100111111,True,0.7921972827881054
38358,1001010111010110,1101111100111101,True,0.5939804684043714
38359,1001010111010111,1101111100111100,True,0.33814582579320723
38360,1001010111011000,1101111100110100,False,1.0
38361,1001010111011001,1101111100110101,False,1.0
38362,1001010111011010,1101111100110111,False,1.0
38363,1001010111011011,1101111100110110,False,1.0
38364,1001010111011100,1101111100110010,False,1.0
38365,1001010111011101,1101111100110011,False,1.0
38366,1001010111011110,1101111100110001,True,0.31527097372284874
38367,1001010111011111,1101111100110000,True,0.0594363311116846
38368,1001010111100000,1101111100010000,True,0.012920941546018392
38369,1001010111100001,1101111100010001,True,0.24291370106514576
38370,1001010111100010,1101111100010011,True,0.4411305154488797
38371,1001010111100011,1101111100010010,True,0.1852958728377156
38372,1001010111100100,1101111100010110,False,1.0
38373,1001010111100101,1101111100010111,False,1.0
38374,1001010111100110,1101111100010101,False,1.0
38375,1001010111100111,1101111100010100,False,1.0
38376,1001010111101000,1101111100011100,True,0.26578855313550426
38377,1001010111101001,1101111100011101,True,0.5216231957466684
38378,1001010111101010,1101111100011111,True,0.7198400101304024
38379,1001010111101011,1101111100011110,True,0.46400536751923827
38380,1001010111101100,1101111100011010,True,0.2684684521228266
38381,1001010111101101,1101111100011011,True,0.5243030947339907
38382,1001010111101110,1101111100011001,True,0.3260862803502567
38383,1001010111101111,1101111100011000,True,0.07025163773909258
38384,1001010111110000,1101111100001000,True,0.005264087296526011
38385,1001010111110001,1101111100001001,True,0.2505705553146381
