,score
279,0.0013399494936611666
280,0.0
281,0.00028713203435596426
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0022013455967290593
287,0.0032541630560342615
288,0.0
289,0.0022013455967290593
290,0.0026798989873223333
291,9.571067811865475e-05
292,0.006125483399593904
293,0.0027756096654409875
294,0.0006699747468305833
295,0.0
296,0.0006699747468305833
297,0.0
298,0.004019848480983499
299,0.0
300,0.0013399494936611666
301,0.0
302,0.0027756096654409875
303,0.006125483399593904
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0012442388155425117
310,0.00382842712474619
311,0.0
312,9.571067811865475e-05
313,0.0001914213562373095
314,0.0066040367901871785
315,0.0
316,0.0001914213562373095
317,0.0
318,0.0
319,0.0001914213562373095
320,9.571067811865475e-05
321,0.0
322,0.0001914213562373095
323,0.006125483399593904
324,0.0
325,0.0
326,0.0012442388155425117
327,0.0012442388155425117
328,0.0022013455967290593
329,0.004594112549695428
330,0.0
331,0.009475357133746821
332,0.0013399494936611666
333,0.00382842712474619
334,0.0
335,0.0013399494936611666
336,0.0
337,0.0013399494936611666
338,0.0027756096654409875
339,0.0022013455967290593
340,0.0032541630560342615
341,0.0
342,0.0
343,0.0
344,0.0063169047558312135
345,0.0
346,9.571067811865475e-05
347,0.00028713203435596426
348,0.0
349,0.006125483399593904
350,9.571067811865475e-05
351,0.0
352,0.0
353,0.0001914213562373095
354,0.0013399494936611666
355,0.0013399494936611666
356,0.0013399494936611666
357,0.0013399494936611666
358,9.571067811865475e-05
359,0.0027756096654409875
360,0.0
361,0.00765685424949238
362,0.0001914213562373095
363,0.0027756096654409875
364,0.0
365,0.0013399494936611666
366,0.0012442388155425117
367,0.0
368,9.571067811865475e-05
369,0.0013399494936611666
370,9.571067811865475e-05
371,0.0
372,0.0
373,0.0013399494936611666
374,0.0013399494936611666
375,0.0
376,0.0005742640687119285
377,9.571067811865475e-05
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0022013455967290593
384,0.0
385,9.571067811865475e-05
386,0.0013399494936611666
387,0.0
388,0.0013399494936611666
389,9.571067811865475e-05
390,0.0012442388155425117
391,0.0
392,9.571067811865475e-05
393,0.0
394,0.0
395,0.0005742640687119285
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.00028713203435596426
402,9.571067811865475e-05
403,0.0
404,0.0012442388155425117
405,0.0
406,0.0
407,0.0013399494936611666
408,0.0013399494936611666
409,0.0006699747468305833
410,0.0026798989873223333
411,9.571067811865475e-05
412,0.00028713203435596426
413,0.0013399494936611666
414,0.006125483399593904
415,0.0
416,0.0
417,0.0012442388155425117
418,0.00746543289325507
419,0.0
420,0.0013399494936611666
421,0.0013399494936611666
422,0.0
423,0.00028713203435596426
424,0.0
425,0.0
426,9.571067811865475e-05
427,0.0027756096654409875
428,0.0012442388155425117
429,0.0
430,0.0001914213562373095
431,0.0013399494936611666
432,0.0
433,0.0026798989873223333
434,0.0013399494936611666
435,0.0066040367901871785
436,9.571067811865475e-05
437,0.0
438,0.0
439,0.0
440,0.00028713203435596426
441,9.571067811865475e-05
442,0.0014356601717798213
443,9.571067811865475e-05
444,0.0
445,0.0
446,0.0013399494936611666
447,0.0
448,0.0
449,0.0
450,0.00028713203435596426
451,0.0022013455967290593
452,9.571067811865475e-05
453,0.0
454,0.0032541630560342615
455,0.0026798989873223333
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0012442388155425117
461,9.571067811865475e-05
462,0.00028713203435596426
463,9.571067811865475e-05
464,9.571067811865475e-05
465,0.0001914213562373095
466,0.0013399494936611666
467,9.571067811865475e-05
468,0.0
469,0.0001914213562373095
470,0.0
471,0.0032541630560342615
472,0.0
473,0.0
474,0.006125483399593904
475,0.0
476,0.0013399494936611666
477,0.0
