dec,bin,gray
334,0000000101001110,0000000111101001
335,0000000101001111,0000000111101000
336,0000000101010000,0000000111111000
337,0000000101010001,0000000111111001
338,0000000101010010,0000000111111011
339,0000000101010011,0000000111111010
340,0000000101010100,0000000111111110
341,0000000101010101,0000000111111111
342,0000000101010110,0000000111111101
343,0000000101010111,0000000111111100
344,0000000101011000,0000000111110100
345,0000000101011001,0000000111110101
346,0000000101011010,0000000111110111
347,0000000101011011,0000000111110110
348,0000000101011100,0000000111110010
349,0000000101011101,0000000111110011
350,0000000101011110,0000000111110001
351,0000000101011111,0000000111110000
352,0000000101100000,0000000111010000
353,0000000101100001,0000000111010001
354,0000000101100010,0000000111010011
355,0000000101100011,0000000111010010
356,0000000101100100,0000000111010110
357,0000000101100101,0000000111010111
358,0000000101100110,0000000111010101
359,0000000101100111,0000000111010100
360,0000000101101000,0000000111011100
361,0000000101101001,0000000111011101
362,0000000101101010,0000000111011111
363,0000000101101011,0000000111011110
364,0000000101101100,0000000111011010
365,0000000101101101,0000000111011011
366,0000000101101110,0000000111011001
367,0000000101101111,0000000111011000
368,0000000101110000,0000000111001000
369,0000000101110001,0000000111001001
370,0000000101110010,0000000111001011
371,0000000101110011,0000000111001010
372,0000000101110100,0000000111001110
373,0000000101110101,0000000111001111
374,0000000101110110,0000000111001101
375,0000000101110111,0000000111001100
376,0000000101111000,0000000111000100
377,0000000101111001,0000000111000101
378,0000000101111010,0000000111000111
379,0000000101111011,0000000111000110
380,0000000101111100,0000000111000010
381,0000000101111101,0000000111000011
382,0000000101111110,0000000111000001
383,0000000101111111,0000000111000000
384,0000000110000000,0000000101000000
385,0000000110000001,0000000101000001
386,0000000110000010,0000000101000011
387,0000000110000011,0000000101000010
388,0000000110000100,0000000101000110
389,0000000110000101,0000000101000111
390,0000000110000110,0000000101000101
391,0000000110000111,0000000101000100
392,0000000110001000,0000000101001100
393,0000000110001001,0000000101001101
394,0000000110001010,0000000101001111
395,0000000110001011,0000000101001110
396,0000000110001100,0000000101001010
397,0000000110001101,0000000101001011
398,0000000110001110,0000000101001001
399,0000000110001111,0000000101001000
400,0000000110010000,0000000101011000
401,0000000110010001,0000000101011001
402,0000000110010010,0000000101011011
403,0000000110010011,0000000101011010
404,0000000110010100,0000000101011110
405,0000000110010101,0000000101011111
406,0000000110010110,0000000101011101
407,0000000110010111,0000000101011100
408,0000000110011000,0000000101010100
409,0000000110011001,0000000101010101
410,0000000110011010,0000000101010111
411,0000000110011011,0000000101010110
412,0000000110011100,0000000101010010
413,0000000110011101,0000000101010011
414,0000000110011110,0000000101010001
415,0000000110011111,0000000101010000
416,0000000110100000,0000000101110000
417,0000000110100001,0000000101110001
418,0000000110100010,0000000101110011
419,0000000110100011,0000000101110010
420,0000000110100100,0000000101110110
421,0000000110100101,0000000101110111
422,0000000110100110,0000000101110101
423,0000000110100111,0000000101110100
424,0000000110101000,0000000101111100
425,0000000110101001,0000000101111101
426,0000000110101010,0000000101111111
427,0000000110101011,0000000101111110
428,0000000110101100,0000000101111010
429,0000000110101101,0000000101111011
430,0000000110101110,0000000101111001
431,0000000110101111,0000000101111000
432,0000000110110000,0000000101101000
433,0000000110110001,0000000101101001
434,0000000110110010,0000000101101011
435,0000000110110011,0000000101101010
436,0000000110110100,0000000101101110
437,0000000110110101,0000000101101111
438,0000000110110110,0000000101101101
439,0000000110110111,0000000101101100
440,0000000110111000,0000000101100100
441,0000000110111001,0000000101100101
442,0000000110111010,0000000101100111
443,0000000110111011,0000000101100110
444,0000000110111100,0000000101100010
445,0000000110111101,0000000101100011
446,0000000110111110,0000000101100001
447,0000000110111111,0000000101100000
448,0000000111000000,0000000100100000
449,0000000111000001,0000000100100001
450,0000000111000010,0000000100100011
451,0000000111000011,0000000100100010
452,0000000111000100,0000000100100110
453,0000000111000101,0000000100100111
454,0000000111000110,0000000100100101
455,0000000111000111,0000000100100100
456,0000000111001000,0000000100101100
457,0000000111001001,0000000100101101
458,0000000111001010,0000000100101111
459,0000000111001011,0000000100101110
460,0000000111001100,0000000100101010
461,0000000111001101,0000000100101011
462,0000000111001110,0000000100101001
463,0000000111001111,0000000100101000
464,0000000111010000,0000000100111000
465,0000000111010001,0000000100111001
466,0000000111010010,0000000100111011
467,0000000111010011,0000000100111010
468,0000000111010100,0000000100111110
469,0000000111010101,0000000100111111
470,0000000111010110,0000000100111101
471,0000000111010111,0000000100111100
472,0000000111011000,0000000100110100
473,0000000111011001,0000000100110101
474,0000000111011010,0000000100110111
475,0000000111011011,0000000100110110
476,0000000111011100,0000000100110010
477,0000000111011101,0000000100110011
478,0000000111011110,0000000100110001
479,0000000111011111,0000000100110000
480,0000000111100000,0000000100010000
481,0000000111100001,0000000100010001
482,0000000111100010,0000000100010011
483,0000000111100011,0000000100010010
484,0000000111100100,0000000100010110
485,0000000111100101,0000000100010111
486,0000000111100110,0000000100010101
487,0000000111100111,0000000100010100
488,0000000111101000,0000000100011100
489,0000000111101001,0000000100011101
490,0000000111101010,0000000100011111
491,0000000111101011,0000000100011110
492,0000000111101100,0000000100011010
493,0000000111101101,0000000100011011
494,0000000111101110,0000000100011001
495,0000000111101111,0000000100011000
496,0000000111110000,0000000100001000
497,0000000111110001,0000000100001001
498,0000000111110010,0000000100001011
499,0000000111110011,0000000100001010
500,0000000111110100,0000000100001110
501,0000000111110101,0000000100001111
502,0000000111110110,0000000100001101
503,0000000111110111,0000000100001100
504,0000000111111000,0000000100000100
505,0000000111111001,0000000100000101
506,0000000111111010,0000000100000111
507,0000000111111011,0000000100000110
508,0000000111111100,0000000100000010
509,0000000111111101,0000000100000011
510,0000000111111110,0000000100000001
511,0000000111111111,0000000100000000
512,0000001000000000,0000001100000000
513,0000001000000001,0000001100000001
514,0000001000000010,0000001100000011
515,0000001000000011,0000001100000010
516,0000001000000100,0000001100000110
517,0000001000000101,0000001100000111
518,0000001000000110,0000001100000101
519,0000001000000111,0000001100000100
520,0000001000001000,0000001100001100
521,0000001000001001,0000001100001101
522,0000001000001010,0000001100001111
523,0000001000001011,0000001100001110
524,0000001000001100,0000001100001010
525,0000001000001101,0000001100001011
526,0000001000001110,0000001100001001
527,0000001000001111,0000001100001000
528,0000001000010000,0000001100011000
529,0000001000010001,0000001100011001
530,0000001000010010,0000001100011011
531,0000001000010011,0000001100011010
532,0000001000010100,0000001100011110
533,0000001000010101,0000001100011111
534,0000001000010110,0000001100011101
535,0000001000010111,0000001100011100
536,0000001000011000,0000001100010100
537,0000001000011001,0000001100010101
538,0000001000011010,0000001100010111
539,0000001000011011,0000001100010110
540,0000001000011100,0000001100010010
541,0000001000011101,0000001100010011
542,0000001000011110,0000001100010001
543,0000001000011111,0000001100010000
544,0000001000100000,0000001100110000
545,0000001000100001,0000001100110001
546,0000001000100010,0000001100110011
547,0000001000100011,0000001100110010
548,0000001000100100,0000001100110110
549,0000001000100101,0000001100110111
550,0000001000100110,0000001100110101
551,0000001000100111,0000001100110100
552,0000001000101000,0000001100111100
553,0000001000101001,0000001100111101
554,0000001000101010,0000001100111111
555,0000001000101011,0000001100111110
556,0000001000101100,0000001100111010
557,0000001000101101,0000001100111011
558,0000001000101110,0000001100111001
559,0000001000101111,0000001100111000
560,0000001000110000,0000001100101000
561,0000001000110001,0000001100101001
562,0000001000110010,0000001100101011
563,0000001000110011,0000001100101010
564,0000001000110100,0000001100101110
565,0000001000110101,0000001100101111
566,0000001000110110,0000001100101101
567,0000001000110111,0000001100101100
568,0000001000111000,0000001100100100
569,0000001000111001,0000001100100101
570,0000001000111010,0000001100100111
571,0000001000111011,0000001100100110
572,0000001000111100,0000001100100010
573,0000001000111101,0000001100100011
574,0000001000111110,0000001100100001
575,0000001000111111,0000001100100000
576,0000001001000000,0000001101100000
577,0000001001000001,0000001101100001
578,0000001001000010,0000001101100011
579,0000001001000011,0000001101100010
580,0000001001000100,0000001101100110
581,0000001001000101,0000001101100111
582,0000001001000110,0000001101100101
583,0000001001000111,0000001101100100
584,0000001001001000,0000001101101100
585,0000001001001001,0000001101101101
586,0000001001001010,0000001101101111
587,0000001001001011,0000001101101110
588,0000001001001100,0000001101101010
589,0000001001001101,0000001101101011
590,0000001001001110,0000001101101001
591,0000001001001111,0000001101101000
592,0000001001010000,0000001101111000
593,0000001001010001,0000001101111001
594,0000001001010010,0000001101111011
595,0000001001010011,0000001101111010
596,0000001001010100,0000001101111110
597,0000001001010101,0000001101111111
598,0000001001010110,0000001101111101
599,0000001001010111,0000001101111100
600,0000001001011000,0000001101110100
601,0000001001011001,0000001101110101
602,0000001001011010,0000001101110111
603,0000001001011011,0000001101110110
604,0000001001011100,0000001101110010
605,0000001001011101,0000001101110011
606,0000001001011110,0000001101110001
607,0000001001011111,0000001101110000
608,0000001001100000,0000001101010000
609,0000001001100001,0000001101010001
610,0000001001100010,0000001101010011
611,0000001001100011,0000001101010010
612,0000001001100100,0000001101010110
613,0000001001100101,0000001101010111
614,0000001001100110,0000001101010101
615,0000001001100111,0000001101010100
616,0000001001101000,0000001101011100
617,0000001001101001,0000001101011101
618,0000001001101010,0000001101011111
619,0000001001101011,0000001101011110
620,0000001001101100,0000001101011010
621,0000001001101101,0000001101011011
622,0000001001101110,0000001101011001
623,0000001001101111,0000001101011000
624,0000001001110000,0000001101001000
625,0000001001110001,0000001101001001
626,0000001001110010,0000001101001011
627,0000001001110011,0000001101001010
628,0000001001110100,0000001101001110
629,0000001001110101,0000001101001111
630,0000001001110110,0000001101001101
631,0000001001110111,0000001101001100
632,0000001001111000,0000001101000100
633,0000001001111001,0000001101000101
634,0000001001111010,0000001101000111
635,0000001001111011,0000001101000110
636,0000001001111100,0000001101000010
637,0000001001111101,0000001101000011
638,0000001001111110,0000001101000001
639,0000001001111111,0000001101000000
640,0000001010000000,0000001111000000
641,0000001010000001,0000001111000001
642,0000001010000010,0000001111000011
643,0000001010000011,0000001111000010
644,0000001010000100,0000001111000110
645,0000001010000101,0000001111000111
646,0000001010000110,0000001111000101
647,0000001010000111,0000001111000100
648,0000001010001000,0000001111001100
649,0000001010001001,0000001111001101
650,0000001010001010,0000001111001111
651,0000001010001011,0000001111001110
652,0000001010001100,0000001111001010
653,0000001010001101,0000001111001011
654,0000001010001110,0000001111001001
655,0000001010001111,0000001111001000
656,0000001010010000,0000001111011000
657,0000001010010001,0000001111011001
658,0000001010010010,0000001111011011
659,0000001010010011,0000001111011010
660,0000001010010100,0000001111011110
661,0000001010010101,0000001111011111
662,0000001010010110,0000001111011101
663,0000001010010111,0000001111011100
664,0000001010011000,0000001111010100
665,0000001010011001,0000001111010101
666,0000001010011010,0000001111010111
667,0000001010011011,0000001111010110
668,0000001010011100,0000001111010010
669,0000001010011101,0000001111010011
670,0000001010011110,0000001111010001
671,0000001010011111,0000001111010000
672,0000001010100000,0000001111110000
673,0000001010100001,0000001111110001
674,0000001010100010,0000001111110011
675,0000001010100011,0000001111110010
676,0000001010100100,0000001111110110
677,0000001010100101,0000001111110111
678,0000001010100110,0000001111110101
679,0000001010100111,0000001111110100
680,0000001010101000,0000001111111100
681,0000001010101001,0000001111111101
682,0000001010101010,0000001111111111
683,0000001010101011,0000001111111110
684,0000001010101100,0000001111111010
685,0000001010101101,0000001111111011
686,0000001010101110,0000001111111001
687,0000001010101111,0000001111111000
688,0000001010110000,0000001111101000
689,0000001010110001,0000001111101001
690,0000001010110010,0000001111101011
691,0000001010110011,0000001111101010
692,0000001010110100,0000001111101110
693,0000001010110101,0000001111101111
694,0000001010110110,0000001111101101
695,0000001010110111,0000001111101100
696,0000001010111000,0000001111100100
697,0000001010111001,0000001111100101
698,0000001010111010,0000001111100111
699,0000001010111011,0000001111100110
700,0000001010111100,0000001111100010
701,0000001010111101,0000001111100011
702,0000001010111110,0000001111100001
703,0000001010111111,0000001111100000
704,0000001011000000,0000001110100000
705,0000001011000001,0000001110100001
706,0000001011000010,0000001110100011
707,0000001011000011,0000001110100010
708,0000001011000100,0000001110100110
709,0000001011000101,0000001110100111
710,0000001011000110,0000001110100101
711,0000001011000111,0000001110100100
712,0000001011001000,0000001110101100
713,0000001011001001,0000001110101101
714,0000001011001010,0000001110101111
715,0000001011001011,0000001110101110
716,0000001011001100,0000001110101010
717,0000001011001101,0000001110101011
718,0000001011001110,0000001110101001
719,0000001011001111,0000001110101000
720,0000001011010000,0000001110111000
721,0000001011010001,0000001110111001
722,0000001011010010,0000001110111011
723,0000001011010011,0000001110111010
724,0000001011010100,0000001110111110
725,0000001011010101,0000001110111111
726,0000001011010110,0000001110111101
727,0000001011010111,0000001110111100
728,0000001011011000,0000001110110100
729,0000001011011001,0000001110110101
730,0000001011011010,0000001110110111
731,0000001011011011,0000001110110110
732,0000001011011100,0000001110110010
733,0000001011011101,0000001110110011
734,0000001011011110,0000001110110001
735,0000001011011111,0000001110110000
736,0000001011100000,0000001110010000
737,0000001011100001,0000001110010001
738,0000001011100010,0000001110010011
739,0000001011100011,0000001110010010
740,0000001011100100,0000001110010110
741,0000001011100101,0000001110010111
742,0000001011100110,0000001110010101
743,0000001011100111,0000001110010100
744,0000001011101000,0000001110011100
745,0000001011101001,0000001110011101
746,0000001011101010,0000001110011111
747,0000001011101011,0000001110011110
748,0000001011101100,0000001110011010
749,0000001011101101,0000001110011011
750,0000001011101110,0000001110011001
751,0000001011101111,0000001110011000
752,0000001011110000,0000001110001000
753,0000001011110001,0000001110001001
754,0000001011110010,0000001110001011
755,0000001011110011,0000001110001010
756,0000001011110100,0000001110001110
757,0000001011110101,0000001110001111
758,0000001011110110,0000001110001101
759,0000001011110111,0000001110001100
760,0000001011111000,0000001110000100
761,0000001011111001,0000001110000101
762,0000001011111010,0000001110000111
763,0000001011111011,0000001110000110
764,0000001011111100,0000001110000010
765,0000001011111101,0000001110000011
766,0000001011111110,0000001110000001
767,0000001011111111,0000001110000000
768,0000001100000000,0000001010000000
769,0000001100000001,0000001010000001
770,0000001100000010,0000001010000011
771,0000001100000011,0000001010000010
772,0000001100000100,0000001010000110
773,0000001100000101,0000001010000111
774,0000001100000110,0000001010000101
775,0000001100000111,0000001010000100
776,0000001100001000,0000001010001100
777,0000001100001001,0000001010001101
778,0000001100001010,0000001010001111
779,0000001100001011,0000001010001110
780,0000001100001100,0000001010001010
781,0000001100001101,0000001010001011
782,0000001100001110,0000001010001001
783,0000001100001111,0000001010001000
784,0000001100010000,0000001010011000
785,0000001100010001,0000001010011001
786,0000001100010010,0000001010011011
787,0000001100010011,0000001010011010
788,0000001100010100,0000001010011110
789,0000001100010101,0000001010011111
790,0000001100010110,0000001010011101
791,0000001100010111,0000001010011100
792,0000001100011000,0000001010010100
793,0000001100011001,0000001010010101
794,0000001100011010,0000001010010111
795,0000001100011011,0000001010010110
796,0000001100011100,0000001010010010
797,0000001100011101,0000001010010011
798,0000001100011110,0000001010010001
799,0000001100011111,0000001010010000
800,0000001100100000,0000001010110000
801,0000001100100001,0000001010110001
802,0000001100100010,0000001010110011
803,0000001100100011,0000001010110010
804,0000001100100100,0000001010110110
805,0000001100100101,0000001010110111
806,0000001100100110,0000001010110101
807,0000001100100111,0000001010110100
808,0000001100101000,0000001010111100
809,0000001100101001,0000001010111101
810,0000001100101010,0000001010111111
811,0000001100101011,0000001010111110
812,0000001100101100,0000001010111010
813,0000001100101101,0000001010111011
814,0000001100101110,0000001010111001
815,0000001100101111,0000001010111000
816,0000001100110000,0000001010101000
817,0000001100110001,0000001010101001
818,0000001100110010,0000001010101011
819,0000001100110011,0000001010101010
820,0000001100110100,0000001010101110
821,0000001100110101,0000001010101111
822,0000001100110110,0000001010101101
823,0000001100110111,0000001010101100
824,0000001100111000,0000001010100100
825,0000001100111001,0000001010100101
826,0000001100111010,0000001010100111
827,0000001100111011,0000001010100110
828,0000001100111100,0000001010100010
829,0000001100111101,0000001010100011
830,0000001100111110,0000001010100001
831,0000001100111111,0000001010100000
832,0000001101000000,0000001011100000
833,0000001101000001,0000001011100001
834,0000001101000010,0000001011100011
835,0000001101000011,0000001011100010
836,0000001101000100,0000001011100110
837,0000001101000101,0000001011100111
838,0000001101000110,0000001011100101
839,0000001101000111,0000001011100100
840,0000001101001000,0000001011101100
841,0000001101001001,0000001011101101
842,0000001101001010,0000001011101111
843,0000001101001011,0000001011101110
844,0000001101001100,0000001011101010
845,0000001101001101,0000001011101011
846,0000001101001110,0000001011101001
847,0000001101001111,0000001011101000
848,0000001101010000,0000001011111000
849,0000001101010001,0000001011111001
850,0000001101010010,0000001011111011
851,0000001101010011,0000001011111010
852,0000001101010100,0000001011111110
853,0000001101010101,0000001011111111
854,0000001101010110,0000001011111101
855,0000001101010111,0000001011111100
856,0000001101011000,0000001011110100
857,0000001101011001,0000001011110101
858,0000001101011010,0000001011110111
859,0000001101011011,0000001011110110
860,0000001101011100,0000001011110010
861,0000001101011101,0000001011110011
862,0000001101011110,0000001011110001
863,0000001101011111,0000001011110000
864,0000001101100000,0000001011010000
865,0000001101100001,0000001011010001
866,0000001101100010,0000001011010011
867,0000001101100011,0000001011010010
868,0000001101100100,0000001011010110
869,0000001101100101,0000001011010111
870,0000001101100110,0000001011010101
871,0000001101100111,0000001011010100
872,0000001101101000,0000001011011100
